X,Y,fid,GID_1,GID_0,COUNTRY,NAME_1,VARNAME_1,NL_NAME_1,TYPE_1,ENGTYPE_1,CC_1,HASC_1,ISO_1
77.3992653305143,44.7673501991951,1,KAZ.1_1,KAZ,Kazakhstan,Almaty,Alma-Ata|Alma-Atinskaya Oblast'|,NA,Oblasy,Region,NA,KZ.AA,KZ-ALA
69.9018180543815,51.8545989139788,2,KAZ.2_1,KAZ,Kazakhstan,Aqmola,Akmolin|Akmolinsk|Tselinograd,NA,Oblasy,Region,NA,KZ.AM,NA
59.3613626643237,48.2812287720386,3,KAZ.3_1,KAZ,Kazakhstan,Aqtöbe,Aktyubinsk,NA,Oblasy,Region,NA,KZ.AT,NA
51.6974082959235,47.4543553455432,4,KAZ.4_1,KAZ,Kazakhstan,Atyrau,Ateransk|Gur'yev,NA,Oblasy,Region,NA,KZ.AR,NA
81.9852619700838,48.6041298577159,5,KAZ.5_1,KAZ,Kazakhstan,East Kazakhstan,Shyghys Qazaqstan|Vostochno-Kaza,NA,Oblasy,Region,NA,KZ.EK,NA
53.5029112583566,43.8650452900622,6,KAZ.6_1,KAZ,Kazakhstan,Mangghystau,Mangistau|Mangyshlak,NA,Oblasy,Region,NA,KZ.MG,NA
69.8338874467431,53.8084248552883,7,KAZ.7_1,KAZ,Kazakhstan,North Kazakhstan,Severo-Kazakhstan|Soltustik Qaza,NA,Oblasy,Region,NA,KZ.NK,NA
76.4695024178129,52.2294680136311,8,KAZ.8_1,KAZ,Kazakhstan,Pavlodar,NA,NA,Oblasy,Region,NA,KZ.PA,NA
70.9303580982685,48.628587650401,9,KAZ.9_1,KAZ,Kazakhstan,Qaraghandy,Karaganda|Karagandinskaya Oblast,NA,Oblasy,Region,NA,KZ.QG,NA
63.5426515428627,51.4301595431321,10,KAZ.10_1,KAZ,Kazakhstan,Qostanay,Kustanai|Kustanay,NA,Oblasy,Region,NA,KZ.QS,NA
63.5620368212421,45.0796447271804,11,KAZ.11_1,KAZ,Kazakhstan,Qyzylorda,Kyzyl-Orda|Kzyl-Orda|Kzyl-Ordins,NA,Oblasy,Region,NA,KZ.QO,NA
68.7960821712099,43.2491943052058,12,KAZ.12_1,KAZ,Kazakhstan,South Kazakhstan,Chimkent,NA,Oblasy,Region,NA,KZ.SK,NA
51.4478744731504,49.843374652534,13,KAZ.13_1,KAZ,Kazakhstan,West Kazakhstan,Ural'sk,NA,Oblasy,Region,NA,KZ.WK,NA
72.5959126300504,44.1383637471469,14,KAZ.14_1,KAZ,Kazakhstan,Zhambyl,Dzhambul,NA,Oblasy,Region,NA,KZ.ZM,NA
